used shock tube experiments with uncertainty and Kurzius results.
Baldwin 162 used k H+H2CO / k H+o2 320 to inder H+O2 rate. k H+H2CO rate varied from 1.0E-14 to 1.6E-14 at 810K
agreewith Kurzuis value very well

Note that Wang 2014 experimental measurement used CO to infer rate with out considering HCO decompsotion so it will 
overestimated H+H2CO rate. 
Baulch et al 2005 ignored Klemm results to fit Oehlers and Friedrichs data went to the other end  

H+H2CO rate
T	Baulch 2005	Wang 2014
500	4.27925E-13	5.94583E-13
510	4.6513E-13	6.51792E-13
520	5.04676E-13	7.12825E-13
530	5.46656E-13	7.77828E-13
540	5.91165E-13	8.46946E-13
550	6.38298E-13	9.20325E-13
560	6.88156E-13	9.98111E-13
570	7.40836E-13	1.08045E-12
580	7.9644E-13	1.1675E-12
590	8.55071E-13	1.25941E-12
600	9.16833E-13	1.35631E-12
610	9.81833E-13	1.45838E-12
620	1.05018E-12	1.56576E-12
630	1.12198E-12	1.6786E-12
640	1.19734E-12	1.79706E-12
650	1.27638E-12	1.92129E-12
660	1.35922E-12	2.05145E-12
670	1.44596E-12	2.18769E-12
680	1.53672E-12	2.33018E-12
690	1.63162E-12	2.47906E-12
700	1.73079E-12	2.6345E-12
710	1.83434E-12	2.79665E-12
720	1.9424E-12	2.96567E-12
730	2.0551E-12	3.14174E-12
740	2.17254E-12	3.32499E-12
750	2.29488E-12	3.5156E-12
760	2.42223E-12	3.71373E-12
770	2.55473E-12	3.91954E-12
780	2.6925E-12	4.13319E-12
790	2.83569E-12	4.35484E-12
800	2.98442E-12	4.58466E-12
810	3.13884E-12	4.82282E-12
820	3.29908E-12	5.06947E-12
830	3.46528E-12	5.32478E-12
1200	1.52167E-11	2.24059E-11
1300	2.09116E-11	3.0226E-11
1400	2.80435E-11	3.97467E-11
1600	4.74913E-11	6.46195E-11
1800	7.54392E-11	9.85037E-11
